iter	RMSE
0	448.6804047
1	442.6687451
2	437.4891527
3	431.0218314
4	424.7992055
5	419.3935458
6	413.6452061
7	408.0782602
8	402.4507993
9	397.3552044
10	392.1775571
11	387.2843827
12	381.9668593
13	377.8608788
14	373.8437127
15	369.3855145
16	364.9623929
17	360.9284552
18	356.5861955
19	352.789671
20	348.8894998
21	344.9060632
22	341.103052
23	337.6239661
24	333.8110523
25	330.423818
26	327.5368632
27	324.3867911
28	321.1010565
29	318.1077848
30	315.3778944
31	312.5232114
32	309.3241819
33	306.7876759
34	304.0620337
35	300.9587451
36	298.3072015
37	295.9303882
38	293.3751464
39	290.5679191
40	288.2553382
41	286.0542767
42	283.8459259
43	281.0260025
44	278.8057659
45	276.5995688
46	274.2751243
47	272.3613674
48	270.2576272
49	268.040375
50	265.9603469
51	263.8826008
52	261.6118189
53	259.9236808
54	257.789259
55	256.0475851
56	254.362922
57	252.6801448
58	251.0992636
59	249.3427221
60	247.9421089
61	246.5158001
62	245.1924
63	243.4417954
64	241.7747368
65	239.9987483
66	238.9020123
67	237.198218
68	236.0366805
69	234.1137166
70	232.2246999
71	230.7399748
72	229.5765079
73	228.2190629
74	226.1875775
75	224.6739408
76	223.3872891
77	222.3209089
78	221.1496653
79	220.1621238
80	218.7343109
81	217.5504222
82	216.5343531
83	215.3555788
84	214.1146482
85	213.0356468
86	212.3225957
87	211.3453862
88	210.2186986
89	209.1788331
90	208.037807
91	206.989786
92	206.2516493
93	205.257548
94	204.313812
95	203.2828308
96	202.1436884
97	201.5505584
98	200.6497323
99	199.8363129
100	198.9972637
101	197.8713902
102	196.9090869
103	196.3650132
104	195.5436223
105	194.9641175
106	193.8291478
107	193.1420494
108	192.4218582
109	191.5330545
110	190.6847423
111	189.4407574
112	188.6950163
113	187.6479031
114	186.7486621
115	186.0274909
116	185.4127973
117	184.9654946
118	184.5480607
119	183.9247453
120	183.2018428
121	182.6457619
122	181.9622147
123	181.6080027
124	180.8496066
125	180.1634704
126	179.4896619
127	178.8686962
128	178.1138584
129	177.6260177
130	176.8228763
131	176.1670994
132	175.5215763
133	174.8305661
134	174.0878655
135	173.4349555
136	173.0669235
137	172.1590795
138	171.5059042
139	170.8194371
140	170.1058276
141	169.8338015
142	169.19945
143	168.6101567
144	168.402944
145	167.5680332
146	167.097007
147	166.3863633
148	165.9158122
149	165.7274973
150	165.487171
151	165.3355494
152	164.6628162
153	163.910945
154	163.681445
155	163.5034359
156	163.1130566
157	162.5960482
158	162.1899399
159	161.5003765
160	161.0798896
161	160.3008051
162	159.814749
163	159.572859
164	158.875554
165	158.0999555
166	157.8772028
167	157.2652651
168	156.9354926
169	156.6182679
170	156.4213723
171	155.9519675
172	155.7104415
173	155.4992862
174	155.2973207
175	155.1057763
176	154.7886948
177	154.5677499
178	154.3533388
179	153.9177311
180	153.1623544
181	152.6561101
182	152.4767631
183	151.8821402
184	151.4885324
185	150.6863424
186	150.4113289
187	150.1490444
188	149.680261
189	149.4418335
190	149.2738534
191	149.0842281
192	148.9511893
193	148.8059697
194	148.6341749
195	148.4819464
196	148.3155724
197	147.7837612
198	147.1922514
199	146.8246889
200	146.304729
201	145.848789
202	145.7118894
203	145.0557755
204	144.7495201
205	144.5878802
206	144.3852635
207	143.7501887
208	143.4072333
209	142.9192305
210	142.4856197
211	141.6873499
212	141.1945804
213	140.9658389
214	140.5937618
215	140.5244039
216	139.9745107
217	139.6897647
218	139.1404376
219	138.9634347
220	138.1908712
221	138.041516
222	137.6336397
223	137.1028685
224	136.6328045
225	136.1130751
226	135.6128591
227	135.3702886
228	134.59427
229	134.1733385
230	133.9919123
231	133.8695582
232	133.4318564
233	132.8464876
234	132.7247467
235	132.5491816
236	132.0605585
237	131.9120656
238	131.668885
239	131.5061424
240	131.2499443
241	130.5472806
242	130.3216883
243	130.0772175
244	129.6097711
245	129.2302117
246	129.0044562
247	128.3286255
248	127.9655913
249	127.354383
250	126.818412
251	126.2046922
252	125.5693728
253	125.2222147
254	125.0293728
255	124.5534343
256	124.4202435
257	124.3025571
258	123.8485394
259	123.263739
260	123.1262398
261	123.0196798
262	122.7011996
263	121.9996001
264	121.5300692
265	120.895519
266	120.592898
267	120.4319394
268	119.6199037
269	119.5313166
270	119.1549645
271	118.5131539
272	117.9153998
273	117.2798799
274	116.7182732
275	116.5698387
276	116.4811086
277	115.9119906
278	115.3409029
279	115.1164985
280	114.5610266
281	114.2928158
282	113.9496251
283	113.6796857
284	113.1791791
285	113.0982692
286	112.7122222
287	112.1701709
288	111.6535924
289	111.5250283
290	111.2828165
291	111.1600379
292	111.0492936
293	110.8070666
294	110.6619351
295	110.5341881
296	110.2970151
297	110.1452348
298	109.4626092
299	109.3215427
300	109.2534038
301	109.032873
302	108.506775
303	108.2658742
304	108.1662343
305	107.6538435
306	107.601245
307	107.3154917
308	106.8797965
309	106.4595901
310	106.0306772
311	105.9075386
312	105.7222614
313	105.2649062
314	104.8256469
315	104.4275586
316	104.2331943
317	104.1440971
318	103.6379427
319	103.135065
320	102.9235003
321	102.5824764
322	102.4011749
323	102.3093599
324	101.9032424
325	101.7234402
326	101.5041322
327	101.3436814
328	101.0825102
329	100.9697106
330	100.5783622
331	100.4868464
332	99.98685813
333	99.92890281
334	99.55100238
335	99.10879043
336	99.03831361
337	98.63403513
338	98.18018072
